Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
Abasaglar (previously Abasria),insulin glargine,2014-09-09,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/002835/human_med_001790.jsp
Abilify,aripiprazole,2004-06-04,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000471/human_med_000619.jsp
Abilify Maintena,aripiprazole,2013-11-15,Authorised,Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/002755/human_med_001711.jsp
Ablavar (previously Vasovist),gadofosveset trisodium,2005-10-03,Withdrawn,Magnetic Resonance Angiography,index.jsp?curl=pages/medicines/human/medicines/000601/human_med_001127.jsp
Abraxane,paclitaxel,2008-01-11,Authorised,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Pancreatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000778/human_med_000620.jsp
Abseamed,epoetin alfa,2007-08-28,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000727/human_med_000621.jsp
Accofil,filgrastim,2014-09-18,Authorised,Neutropenia,index.jsp?curl=pages/medicines/human/medicines/003956/human_med_001798.jsp
Aclasta,zoledronic acid,2005-04-15,Authorised,"Osteitis Deformans  Osteoporosis  Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000595/human_med_000622.jsp
Acomplia,rimonabant,2006-06-19,Withdrawn,Obesity,index.jsp?curl=pages/medicines/human/medicines/000666/human_med_000623.jsp
Acrescent,memantine hydrochloride / donepezil hydrochloride,2013-02-20,Refused,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002424/human_med_001610.jsp
Actelsar HCT,telmisartan / hydrochlorothiazide,2013-03-13,Authorised,,index.jsp?curl=pages/medicines/human/medicines/002676/human_med_001623.jsp
Actos,pioglitazone hydrochloride,2000-10-13,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000285/human_med_000624.jsp
Actraphane,insulin human,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000427/human_med_000625.jsp
Actrapid,human insulin,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000424/human_med_000626.jsp
Adasuve,loxapine,2013-02-20,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/002400/human_med_001618.jsp
Adcetris,brentuximab vedotin,2012-10-25,Authorised,"Hodgkin Disease  Lymphoma, Non-Hodgkin",index.jsp?curl=pages/medicines/human/medicines/002455/human_med_001588.jsp
Adcirca (previously Tadalafil Lilly),tadalafil,2008-10-01,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/001021/human_med_001073.jsp
Adempas,riociguat,2014-03-27,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/002737/human_med_001733.jsp
Adenuric,febuxostat,2008-04-21,Authorised,Gout,index.jsp?curl=pages/medicines/human/medicines/000777/human_med_000627.jsp
"Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals)","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)",2009-10-10,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001206/human_med_001214.jsp
Adrovance,alendronate sodium trihydrate / colecalciferol,2007-01-04,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000759/human_med_000628.jsp
Advagraf,tacrolimus,2007-04-23,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000712/human_med_000629.jsp
Advate,octocog alfa,2004-03-02,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/000520/human_med_000630.jsp
Aerinaze,desloratadine / pseudophedrine sulphate,2007-07-30,Authorised,"Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/000772/human_med_000631.jsp
Aerius,desloratadine,2001-01-15,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000313/human_med_000632.jsp
Aerivio Spiromax,salmeterol xinafoate / fluticasone propionate,2016-08-18,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002752/human_med_002007.jsp
Afinitor,everolimus,2009-08-03,Authorised,"Breast Neoplasms  Carcinoma, Renal Cell  Pancreatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/001038/human_med_000633.jsp
Aflunov,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23),2010-11-29,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/002094/human_med_001396.jsp
Agenerase,amprenavir,2000-10-20,Withdrawn,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000264/human_med_000634.jsp
Airexar Spiromax,salmeterol / fluticasone propionate,2016-08-18,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/004267/human_med_002008.jsp
Akynzeo,netupitant / palonosetron hydrochloride,2015-05-27,Authorised,Cancer  Nausea  Vomiting,index.jsp?curl=pages/medicines/human/medicines/003728/human_med_001862.jsp
Aldara,imiquimod,1998-09-18,Authorised,"Carcinoma, Basal Cell  Condylomata Acuminata  Keratosis  Keratosis, Actinic",index.jsp?curl=pages/medicines/human/medicines/000179/human_med_000635.jsp
Aldurazyme,laronidase,2003-06-10,Authorised,Mucopolysaccharidosis I,index.jsp?curl=pages/medicines/human/medicines/000477/human_med_000636.jsp
Alimta,pemetrexed,2004-09-20,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/000564/human_med_000638.jsp
Alisade,fluticasone furoate,2008-10-06,Withdrawn,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/001019/human_med_000639.jsp
Allex,desloratadine,2001-01-15,Withdrawn,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000312/human_med_000640.jsp
Alli (previously Orlistat GSK),orlistat,2007-07-23,Authorised,Obesity,index.jsp?curl=pages/medicines/human/medicines/000854/human_med_000641.jsp
Aloxi,palonosetron hydrochloride,2005-03-22,Authorised,Cancer  Vomiting,index.jsp?curl=pages/medicines/human/medicines/000563/human_med_000642.jsp
Alpheon,recombinant human interferon alfa-2a,2006-09-05,Refused,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000585/human_med_000643.jsp
Alprolix,eftrenonacog alfa,2016-05-12,Authorised,Hemophilia B,index.jsp?curl=pages/medicines/human/medicines/004142/human_med_001973.jsp
Altargo,retapamulin,2007-05-24,Authorised,Impetigo  Staphylococcal Skin Infections,index.jsp?curl=pages/medicines/human/medicines/000757/human_med_000644.jsp
