,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
0,Abasaglar (previously Abasria),insulin glargine,2014-09-09,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/002835/human_med_001790.jsp,A10AE04,EMEA/H/C/002835,"Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",Q417317,,274783,,
1,Abilify,aripiprazole,2004-06-04,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000471/human_med_000619.jsp,N05AX12,EMEA/H/C/000471,Abilify is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.Abilify is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.Abilify is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,Q411188,,89013,,
2,Abilify Maintena,aripiprazole,2013-11-15,Authorised,Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/002755/human_med_001711.jsp,N05AX12,EMEA/H/C/002755,Maintenance treatment of schizophrenia in adult patients stabilised with oral aripiprazole.,Q411188,,89013,,
3,Ablavar (previously Vasovist),gadofosveset trisodium,2005-10-03,Withdrawn,Magnetic Resonance Angiography,index.jsp?curl=pages/medicines/human/medicines/000601/human_med_001127.jsp,V08CA,EMEA/H/C/000601,"This medicinal product is for diagnostic use only.
Ablavaris indicated for contrast-enhanced magnetic resonance angiography (CE-MRA) for visualisation of abdominal or limb vessels in adults only, with suspected or known vascular disease.",Q5516411,,1364289,,
4,Abraxane,paclitaxel,2008-01-11,Authorised,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Pancreatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000778/human_med_000620.jsp,L01CD01,EMEA/H/C/000778,"Abraxane monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated.
Abraxane in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas.
Abraxane in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.",Q423762,,56946,,
5,Abseamed,epoetin alfa,2007-08-28,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000727/human_med_000621.jsp,B03XA01,EMEA/H/C/000727,"Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients:

treatment of anaemia associated with chronic renal failure in paediatric and adult patients on haemodialysis and adult patients on peritoneal dialysis;
treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis.

Treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre existing anaemia at the start of chemotherapy).
Abseamed can be used to increase the yield of autologous blood from patients in a predonation programme. Its use in this indication must be balanced against the reported risk of thromboembolic events. Treatment should only be given to patients with moderate anaemia (haemoglobin (Hb) 10-13 g/dl [6.2-8.1 mmol/l], no iron deficiency), if blood saving procedures are not available or insufficient when the scheduled major elective surgery requires a large volume of blood (4 or more units of blood for females or 5 or more units for males).
Abseamed can be used to reduce exposure to allogeneic blood transfusions in adult non iron deficient patients prior to major elective orthopaedic surgery, having a high perceived risk for transfusion complications. Use should be restricted to patients with moderate anaemia (e.g. Hb 10-13 g/dl) who do not have an autologous predonation programme available and with an expected blood loss of 900 to 1800 ml.",Q5383794,,,,
6,Accofil,filgrastim,2014-09-18,Authorised,Neutropenia,index.jsp?curl=pages/medicines/human/medicines/003956/human_med_001798.jsp,L03AA02,EMEA/H/C/003956,"Accofil is indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia. The safety and efficacy of Accofil are similar in adults and children receiving cytotoxic chemotherapy. Accofil is indicated for the mobilisation of peripheral blood progenitor cells (PBPCs).In patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (ANC) of  0.5 x 109/L, and a history of severe or recurrent infections, long term administration of Accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events.Accofil is indicated for the treatment of persistent neutropenia (ANC less than or equal to 1.0 x 109/L) in patients with advanced HIV infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",Q3151081,,,,
7,Aclasta,zoledronic acid,2005-04-15,Authorised,"Osteitis Deformans  Osteoporosis  Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000595/human_med_000622.jsp,M05BA08,EMEA/H/C/000595,"Treatment of osteoporosis:

in post-menopausal women;
in men;

at increased risk of fracture, including those with a recent low-trauma hip fracture.
Treatment of osteoporosis associated with long-term systemic glucocorticoid therapy in post-menopausal women and in men at increased risk of fracture.
Treatment of Paget's disease of the bone.",Q218507,,1546014,,
8,Acomplia,rimonabant,2006-06-19,Withdrawn,Obesity,index.jsp?curl=pages/medicines/human/medicines/000666/human_med_000623.jsp,A08AX01,EMEA/H/C/000666,"As an adjunct to diet and exercise for the treatment of obese patients (BMI 30 kg/m2), or overweight patients (BMI  27 kg/m2) with associated risk factor(s), such as type 2 diabetes or dyslipidaemia (see section 5.1).",Q412529,,,,
9,Acrescent,memantine hydrochloride / donepezil hydrochloride,2013-02-20,Refused,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002424/human_med_001610.jsp,N06D     ,EMEA/H/C/002424,Treatment of Alzheimers disease,,"['Q27133218', 'Q27106438']",,"['236685', '236559']",1602583
10,Actelsar HCT,telmisartan / hydrochlorothiazide,2013-03-13,Authorised,,index.jsp?curl=pages/medicines/human/medicines/002676/human_med_001623.jsp,C09DA07,EMEA/H/C/002676,"Treatment of essential hypertension.
Actelsar HCT fixed-dose combination (40 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone.
Actelsar HCT fixed-dose combination (80 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone.
Actelsar HCT fixed-dose combination (80 mg telmisartan / 25 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on Actelsar HCT 80 mg / 12.5 mg (80 mg telmisartan / 12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately.",,"['Q733186', 'Q423930']",,"['73494', '5487']",284636
11,Actos,pioglitazone hydrochloride,2000-10-13,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000285/human_med_000624.jsp,A10BG03,EMEA/H/C/000285,"Pioglitazone is indicated in the treatment of type-2 diabetes mellitus:

as monotherapy: 

in patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance;


as dual oral therapy in combination with: 

metformin, in patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin;
a sulphonylurea, only in patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea;


as triple oral therapy in combination with: 

metformin and a sulphonylurea, in patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy.



Pioglitazone is also indicated for combination with insulin in type-2 diabetes mellitus patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",Q417765,,33738,,
12,Actraphane,insulin human,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000427/human_med_000625.jsp,A10AD01,EMEA/H/C/000427,Treatment of diabetes mellitus.,Q39798,,,,
13,Actrapid,human insulin,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000424/human_med_000626.jsp,A10AB01,EMEA/H/C/000424,Treatment of diabetes mellitus.,Q2034113,,,,
14,Adasuve,loxapine,2013-02-20,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/002400/human_med_001618.jsp,N05AH01,EMEA/H/C/002400,Adasuve is indicated for the rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder. Patients should receive regular treatment immediately after control of acute agitation symptoms.,Q58614,,6475,,
15,Adcetris,brentuximab vedotin,2012-10-25,Authorised,"Hodgkin Disease  Lymphoma, Non-Hodgkin",index.jsp?curl=pages/medicines/human/medicines/002455/human_med_001588.jsp,L01XC12 ,EMEA/H/C/002455,"Adcetris is indicated for the treatment of adult patients with relapsed or refractory CD30+ Hodgkin lymphoma (HL):

following autologous stem-cell transplant (ASCT) or;
following at least two prior therapies when ASCT or multi-agent chemotherapy is not a treatment option.

Adcetris is indicated for the treatment of adult patients with CD30+ HL at increased risk of relapse or progression following ASCT.Adcetris is indicated for the treatment of adult patients with relapsed or refractory systemic anaplastic large-cell lymphoma (sALCL).",Q422324,,,,
16,Adcirca (previously Tadalafil Lilly),tadalafil,2008-10-01,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/001021/human_med_001073.jsp,G04BE08,EMEA/H/C/001021,"Adcirca is indicated in adults for the treatment of pulmonary arterial hypertension (PAH) classified as World Health Organization functional class II and III, to improve exercise capacity (see section 5.1).
Efficacy has been shown in idiopathic PAH (IPAH) and in PAH related to collagen vascular disease.",Q424156,,358263,,
17,Adempas,riociguat,2014-03-27,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/002737/human_med_001733.jsp,C02KX05,EMEA/H/C/002737,"Chronic thromboembolic pulmonary hypertension (CTEPH) Adempas is indicated for the treatment of adult patients with WHO Functional Class (FC) II to III with

inoperable CTEPH,
persistent or recurrent CTEPH after surgical treatment,

to improve exercise capacity (see section 5.1). Pulmonary arterial hypertension (PAH) Adempas, as monotherapy or in combination with endothelin receptor antagonists, is indicated for the treatment of adult patients with pulmonary arterial hypertension (PAH) with WHO Functional Class (FC) II to III to improve exercise capacity. Efficacy has been shown in a PAH population including aetiologies of idiopathic or heritable PAH or PAH associated with connective tissue disease (see section 5.1).",Q2154494,,1439816,,
18,Adenuric,febuxostat,2008-04-21,Authorised,Gout,index.jsp?curl=pages/medicines/human/medicines/000777/human_med_000627.jsp,M04AA03,EMEA/H/C/000777,"80 mg strength:
Treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis).
Adenuricis indicated in adults.
120 mg strength:
Adenuricis indicated for the treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis).
Adenuricis indicated for the prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of Tumor Lysis Syndrome (TLS).
Adenuricis indicated in adults.",Q417296,,73689,,
19,"Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals)","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)",2009-10-10,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001206/human_med_001214.jsp,J07BB02,EMEA/H/C/001206,Prophylaxis of influenza in an officially declared pandemic situation. Pandemic influenza vaccine should be used in accordance with official guidance.,Q4202214,,,,
20,Adrovance,alendronate sodium trihydrate / colecalciferol,2007-01-04,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000759/human_med_000628.jsp,M05BB03,EMEA/H/C/000759,"Treatment of postmenopausal osteoporosis in patients at risk of vitamin-D insufficiency.
Adrovance reduces the risk of vertebral and hip fractures.",,,,,
21,Advagraf,tacrolimus,2007-04-23,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000712/human_med_000629.jsp,L04AD02,EMEA/H/C/000712,"Prophylaxis of transplant rejection in adult kidney or liver allograft recipients.
Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.",Q411648,,235991,,
22,Advate,octocog alfa,2004-03-02,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/000520/human_med_000630.jsp,B02BD02,EMEA/H/C/000520,"Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor-VIII deficiency).
Advate does not contain von Willebrand factor in pharmacologically effective quantities and is therefore not indicated in von Willebrand disease.",,,,,
23,Aerinaze,desloratadine / pseudophedrine sulphate,2007-07-30,Authorised,"Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/000772/human_med_000631.jsp,R01BA52,EMEA/H/C/000772,Symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion.,,"['Q418060', 'Q263958']",,"['275635', '8896']",597501
24,Aerius,desloratadine,2001-01-15,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000313/human_med_000632.jsp,R06AX27,EMEA/H/C/000313,"Aerius is indicated for the relief of symptoms associated with:

allergic rhinitis;
urticaria.
",Q418060,,275635,,
25,Aerivio Spiromax,salmeterol xinafoate / fluticasone propionate,2016-08-18,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002752/human_med_002007.jsp,R03AK06,EMEA/H/C/002752,"Aerivio Spiromax is indicated for use in adults aged 18 years and older only.Asthma
Aerivio Spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting 2 agonist) is appropriate:- patients not adequately controlled on a lower strength corticosteroid combination product or-patients already controlled on a high dose inhaled corticosteroid and long-acting 2 agonist.Chronic Obstructive Pulmonary Disease (COPD)
Aerivio Spiromax is indicated for the symptomatic treatment of patients with COPD, with a FEV1 60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.",,"['Q27264747', 'Q8564098']",,"['72616', '50121']",
26,Afinitor,everolimus,2009-08-03,Authorised,"Breast Neoplasms  Carcinoma, Renal Cell  Pancreatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/001038/human_med_000633.jsp,L01XE10,EMEA/H/C/001038,"Hormone-receptor-positive advanced breast cancer
Afinitor is indicated for the treatment of hormone-receptor-positive, HER2/neu-negative advanced breast cancer, in combination with exemestane, in post-menopausal women without symptomatic visceral disease after recurrence or progression following a non-steroidal aromatase inhibitor.
Neuroendocrine tumours of pancreatic origin
Afinitor is indicated for the treatment of unresectable or metastatic, well or moderately differentiated neuroendocrine tumours of pancreatic origin in adults with progressive disease.
Neuroendocrine tumours of gastrointestinal or lung origin
Afinitor is indicated for the treatment of unresectable or metastatic, well-differentiated (Grade 1 or Grade 2) non-functional neuroendocrine tumours of gastrointestinal or lung origin in adults with progressive disease (see sections 4.4 and 5.1).
Renal-cell carcinoma
Afinitor is indicated for the treatment of patients with advanced renal-cell carcinoma, whose disease has progressed on or after treatment with VEGF-targeted therapy.",Q421052,,141704,,
