,Product,EU Designation,Designated Orphan Indication,Sponsor,Designation date,TradenameEU Centralised NrImplemented on,drug_qid,indication,doid,hpo,ordo,mesh,indication_qid_doid,indication_qid_ordo,indication_qid_mesh
0,"11-(2-pyrrolidin-1-yl-ethoxy)-14,19-dioxa-5,7,26-triaza-tetracyclo[19.3.1.1(2,6).1(8,12)] heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",EU/3/10/767,Treatment of post-essential thrombocythaemia myelofibrosis,CTI Life Sciences Ltd,25/08/2010,,,postessential thrombocythemia myelofibrosis,,,,,,,
1,"11-(2-pyrrolidin-1-yl-ethoxy)-14,19-dioxa-5,7,26-triaza-tetracyclo[19.3.1.1(2,6).1(8,12)] heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",EU/3/10/768,Treatment of primary myelofibrosis,CTI Life Sciences Ltd,25/08/2010,,,primary myelofibrosis,http://purl.obolibrary.org/obo/DOID_4971,,http://www.orpha.net/ORDO/Orphanet_824,D055728,Q1752571,,Q1752571
2,"11-(2-pyrrolidin-1-yl-ethoxy)-14,19-dioxa-5,7,26-triaza-tetracyclo[19.3.1.1(2,6).1(8,12)] heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",EU/3/10/769,Treatment of post-polycythaemia vera myelofibrosis,CTI Life Sciences Ltd,25/08/2010,,,postpolycythemia vera myelofibrosis,,,,,,,
3,"11-(4-Dimethylamino-3-hydroxy-6-methyl-tetrahydro-pyran-2-yloxy)-2-ethyl-3,4,10-trihydroxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-aza-cyclopentadecane-13,15-dione",EU/3/14/1239,Treatment of cystic fibrosis,Synovo GmbH,19/02/2014,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
4,"1-(2,2-difluoro-1,3-benzodioxol-5-yl)-N-{1-[(2R)-2,3-dihydroxypropyl]-6-fluoro-2-(1-hydroxy-2-methylpropan-2-yl)-1H-indol-5-yl}cyclopropanecarboxamide",EU/3/14/1281,Treatment of cystic fibrosis,Vertex Pharmaceuticals (Europe) Limited,04/07/2014,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
5,"1,2:5,6-Dianhydrogalactitol",EU/3/12/1093,Treatment of glioma,IDIS Ltd,24/01/2013,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
6,"1,2-bis(methylsulphonyl)-1-(2-chloroethyl)-2-[(methylamino)carbonyl]hydrazine",EU/3/05/332,Treatment of acute myeloid leukaemia,"Vion (UK) Limited, ℅ i3 Research",14/12/2005,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
7,"1-[(2-Chloro-4-methoxyphenoxy)methyl]-4-[(2,6-dichlorophenoxy)methyl]benzene",EU/3/12/1021,Prevention of poliomyelitis in patients with immunodeficiencies deemed at risk,ViroDefense Ltd,17/07/2012,,,poliomyelitis in patients with immunodeficiencies deemed at risk,,,,,,,
8,"1-(2-isopropoxyethyl)-2-thioxo-1,2,3,5-tetrahydro-pyrrolo[3,2-d]pyrimidin-4-one",EU/3/14/1404,Treatment of multiple system atrophy,AstraZeneca AB,16/12/2014,,,multiple system atrophy,http://purl.obolibrary.org/obo/DOID_4752,,http://www.orpha.net/ORDO/Orphanet_102,D019578,Q1541975,,Q1541975
9,"1-{3-[3-(4-chlorophenyl)propoxy]propyl}piperidine, hydrochloride",EU/3/07/459,Treatment of narcolepsy,Bioprojet Pharma,10/07/2007,WakixEU/1/15/106804/04/2016,,narcolepsy,http://purl.obolibrary.org/obo/DOID_8986,http://purl.obolibrary.org/obo/HP_0030050,,D009290,Q189561,,Q189561
10,"1,3-Propanedisulfonic acid, disodium salt",EU/3/01/051,Treatment of Systemic Secondary Amyloidosis,C.T. Phinco S.à.r.l.,31/07/2001,,,systemic secondary amyloidosis,,,,,,,
11,"1-[(3R)-3-[4-amino-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4 d]pyrimidin-1-yl]-1-piperidinyl]-2-propen-1-one",EU/3/12/984,Treatment of chronic lymphocytic leukaemia,Janssen-Cilag International NV,26/04/2012,IMBRUVICAEU/1/14/94523/10/2014,,chronic lymphocytic leukemia,http://purl.obolibrary.org/obo/DOID_1040,http://purl.obolibrary.org/obo/HP_0005550,,D015451,Q1088156,,Q1088156
12,"1-[(3R)-3-[4-amino-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl]-1-piperidinyl]-2-propen-1-one",EU/3/13/1115,Treatment of mantle cell lymphoma,Janssen-Cilag International NV,12/03/2013,IMBRUVICAEU/1/14/94523/10/2014,,mantle cell lymphoma,http://purl.obolibrary.org/obo/DOID_0050746,,http://www.orpha.net/ORDO/Orphanet_52416,D020522,Q268713,,
13,1-(4-(N-glycylamido)phenyl)-3-trifluoromethyl-5-(phenanthren-2-yl)-pyrazole-hydrochloride,EU/3/15/1475,Treatment of cryptococcosis,"Arno Therapeutics UK, Limited",24/04/2015,,,cryptococcosis,http://purl.obolibrary.org/obo/DOID_12053,,http://www.orpha.net/ORDO/Orphanet_1546,D003453,Q1470140,,Q1470140
14,1-(4-(N-glycylamido)phenyl)-3-trifluoromethyl-5-(phenanthren-2-yl)-pyrazole-hydrochloride,EU/3/15/1476,Treatment of tularaemia,"Arno Therapeutics UK, Limited",24/04/2015,,,tularemia,http://purl.obolibrary.org/obo/DOID_2123,,http://www.orpha.net/ORDO/Orphanet_3392,D014406,Q153861,,Q153861
15,16-base single-stranded peptide nucleic acid oligonucleotide linked to 7-amino acid peptide,EU/3/10/789,Treatment of medulloblastoma,Biogenera SpA,01/10/2010,,,medulloblastoma,http://purl.obolibrary.org/obo/DOID_0050902,http://purl.obolibrary.org/obo/HP_0002885,http://www.orpha.net/ORDO/Orphanet_616,D008527,Q1333608,,Q18556102
16,16-base single-stranded peptide nucleic acid oligonucleotide linked to 7-amino acid peptide,EU/3/12/1016,Treatment of neuroblastoma,Biogenera SpA,04/07/2012,,,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
17,16-base single-stranded peptide nucleic acid oligonucleotide linked to a 7 aminoacid peptide,EU/3/16/1690,Treatment of soft tissue sarcoma,Biogenera SpA,14/07/2016,,,soft tissue sarcoma,,http://purl.obolibrary.org/obo/HP_0030448,http://www.orpha.net/ORDO/Orphanet_3394,D012509,,,Q18975788
18,16-base single-stranded PNA oligonucleotide linked to a 7-aminoacid peptide,EU/3/09/692,Treatment of neuroblastoma,Biogenera SpA,25/11/2009,,,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
19,1-(6-benzothiazolylsulfonyl)-5-chloro-1H-indole-2-butanoic acid,EU/3/14/1361,Treatment of systemic sclerosis,Inventiva,19/11/2014,,,systemic sclerosis,http://purl.obolibrary.org/obo/DOID_418,,http://www.orpha.net/ORDO/Orphanet_90291,D012595,Q5340515,,Q5340515
20,1-(6-benzothiazolylsulfonyl)-5-chloro-1H-indole-2-butanoic acid,EU/3/14/1362,Treatment of idiopathic pulmonary fibrosis,Inventiva,19/11/2014,,,idiopathic pulmonary fibrosis,http://purl.obolibrary.org/obo/DOID_0050156,,http://www.orpha.net/ORDO/Orphanet_2032,D054990,Q2290446,,Q2290446
21,177Lu-tetraxetan-tetulomab,EU/3/14/1271,Treatment of follicular lymphoma,Nordic Nanovector AS,04/06/2014,,,follicular lymphoma,http://purl.obolibrary.org/obo/DOID_0050873,,http://www.orpha.net/ORDO/Orphanet_545,D008224,Q123251,,
22,"(-)-17-(cyclopropylmethyl)-3,14 ß-dihydroxy-4,5 a-epoxy-6ß-[N-methyl-trans-3-(3-furyl) acrylamido] morphinan hydrochloride",EU/3/02/115,Treatment of uremic pruritus,Toray International Europe GmbH,11/09/2002,,,uremic pruritus,,,,,,,
23,"17a,21-dihydroxy-16a-methyl-pregna-1,4,9(11)-triene-3,20-dione",EU/3/14/1309,Treatment of Duchenne muscular dystrophy,ReveraGen BioPharma Limited,22/08/2014,,Q27270940,duchenne muscular dystrophy,http://purl.obolibrary.org/obo/DOID_11723,,http://www.orpha.net/ORDO/Orphanet_98896,D020388,Q1648484,,Q1648484
24,1-Cyclopropyl-3-[3-(5-morpholin-4-ylmethyl-1H-benzoimidazol-2-yl)-1H-pyrazol-4-yl]-urea,EU/3/09/693,Treatment of acute myeloid leukaemia,Astex Therapeutics Limited,26/11/2009,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
25,1-deoxygalactonojirimycin hydrochloride,EU/3/06/368,Treatment of Fabry disease,Amicus Therapeutics UK Ltd,22/05/2006,GalafoldEU/1/15/108231/05/2016,Q27291314,fabry disease,http://purl.obolibrary.org/obo/DOID_14499,,http://www.orpha.net/ORDO/Orphanet_324,D000795,Q615645,,Q615645
26,"(1E,6E)-1,7-bis(3,4-dimethoxyphenyl)-4-cyclobutylmethyl-1,6-heptadiene-3,5-dione",EU/3/16/1639,Treatment of X-linked spinal and bulbar muscular atrophy (Kennedy's disease),Coté Orphan Consulting UK Limited,28/04/2016,,,xlinked spinal and bulbar muscular atrophy (kennedys disease),,,,,,,
27,"(1-methyl-2-nitro-1H-imidazole-5-yl)methyl N,N’-bis(2-bromoethyl)diamidophosphate",EU/3/13/1152,Treatment of pancreatic cancer,Chiltern International Limited,17/07/2013,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
28,"(1R, 2R)-Octanoic acid [2-(2’,3’-dihydro-benzo [1,4] dioxin-6’-yl)-2-hydroxy-1-pyrrolidin-1-ylmethyl-ethyl]-amide-L-tartaric acid salt",EU/3/07/514,Treatment of Gaucher Disease,Genzyme Europe B.V.,04/12/2007,CerdelgaEU/1/14/97421/01/2015,,gaucher disease,http://purl.obolibrary.org/obo/DOID_1926,,http://www.orpha.net/ORDO/Orphanet_355,D005776,Q861645,Q861645,Q861645
29,"(1R,2S) 6-bromo-alpha-[2-(dimethylamino)ethyl]-2-methoxy-alpha-(1-naphthyl)-beta-phenyl-3-quinolineethanol",EU/3/05/314,Treatment of tuberculosis,Janssen-Cilag International NV,26/08/2005,SirturoEU/1/13/90107/03/2014,,tuberculosis,http://purl.obolibrary.org/obo/DOID_399,,http://www.orpha.net/ORDO/Orphanet_3389,D014376,Q12204,,Q12204
30,"(1R,3R,4R,5S)-3-O-[2-O-benzoyl-3-O-(sodium(2S)-3-cyclohexyl-propanoate-2-yl)-ß-D-galactopyranosyl]-4-O-(a-L-fucopyranosyl)-5-orothylamido-cyclohexane-1-carboxylic acid ethyl-2-amidyl-ethyloxy-2-acetyl-(8-amino-1,3,6-naphthalene-tris sodium sulfonate) amide",EU/3/13/1184,Treatment of sickle cell disease,Pfizer Limited,05/08/2013,,,sickle cell disease,,,http://www.orpha.net/ORDO/Orphanet_232,D000755,,,Q185034
31,"(1S,3S)-3-amino-4-(difluoromethylene) cyclopentanecarboxylic acid hydrochloride",EU/3/12/953,Treatment of West syndrome,Catalent Pharma Solutions Limited,09/02/2012,,,west syndrome,http://purl.obolibrary.org/obo/DOID_0050562,http://purl.obolibrary.org/obo/HP_0011097,http://www.orpha.net/ORDO/Orphanet_3451,D013036,Q1041258,,Q18555095
32,"(1S,4R,5R,7S)-3,4-dibenzyl-2-oxo-6,8-dioxa-3-azabyciclo[3.2.1]octane-7-carboxylic acid-L-lysine",EU/3/14/1400,Treatment of neurotrophic keratitis,MIMETECH S.r.l.,16/12/2014,,Q418123,neurotrophic keratitis,,,http://www.orpha.net/ORDO/Orphanet_137596,,,,
